0,20,14
0,14,12
0,8,24
6,10,16
-2,14,12
-2,12,12
0,10,16
0,8,16
4,12,16
2,16,18
-4,14,10
0,18,16
-4,18,12
0,12,12
-2,16,16
4,14,8
0,12,14
2,16,14
0,20,12
4,16,10
-4,10,8
12,14,10
4,4,16
6,6,16
0,2,10
2,-6,14
6,-8,14
6,-8,18
6,-6,14
0,0,16
-2,10,4
0,0,14
-2,0,12
0,2,14
-4,-4,14
-4,-6,14
-8,8,20
-20,4,24
-4,4,14
8,20,6
6,30,-4
4,22,12
-4,20,14
8,10,12
2,2,18
-4,-4,12
-4,-10,14
2,-34,20
-26,-22,12
-50,-22,-4
-14,16,46
52,36,-26
24,20,34
-50,6,30
-88,32,16
-128,26,-10
-82,2,-8
-32,-22,6
-26,-6,0
-8,12,12
56,34,-56
-418,-160,0
374,-100,198
60,16,10
-32,2,22
10,2,30
-4,4,16
-4,16,10
-4,8,18
0,20,10
-4,14,14
-2,16,18
-4,10,14
-2,8,18
-4,6,20
-2,10,14
-4,12,14
-2,12,14
-4,8,14
-4,10,14
-2,8,16
-2,10,14
2,6,20
-2,14,20
2,8,14
-4,6,22
0,16,14
-6,24,8
2,24,14
6,24,14
2,22,14
0,24,14
0,24,10
-2,18,18
-4,14,16
-2,18,14
-2,10,14
-2,14,16
14,28,-16
2,20,6
-12,24,4
-16,2,26
8,4,38
90,48,98
178,90,84
-136,-216,294
416,158,18
246,108,12
36,58,68
-88,4,92
-136,-86,140
-124,-210,136
-152,-394,66
-156,-540,-154
-262,-624,-666
-536,190,-338
-108,-214,434
-8,68,-26
-12,24,24
-8,20,14
-4,14,20
-10,18,14
-4,20,14
-4,20,14
-4,16,14
-4,10,20
-10,16,20
-4,14,14
-10,24,14
-22,30,2
10,36,18
-44,66,-2
-66,6,116
242,154,130
-30,-648,781
284,112,2
148,92,-4
-14,66,52
-166,32,138
-164,-104,182
-250,-244,220
-138,-492,74
-32,-640,-340
-220,-456,-232
-318,192,-266
134,-28,52
-162,-58,142
4,8,22
-4,22,14
-4,20,12
-2,22,14
-4,18,16
-4,18,16
-8,32,14
-4,20,12
-4,22,12
2,26,14
-4,26,6
-46,16,36
-94,8,30
56,32,14
66,160,78
380,76,148
-284,-482,724
476,214,-88
236,150,100
-40,124,94
-168,60,138
-168,-96,188
-282,-296,210
-230,-512,-6
-156,-646,-342
-778,88,-1070
150,-114,220
10,-332,781
22,-32,90
-4,16,20
-4,18,14
0,28,4
-4,24,14
-4,18,20
-4,20,10
-4,12,14
-4,10,10
-12,16,14
-18,12,14
-4,30,6
-2,28,6
-10,2,26
-150,8,-34
266,108,330
80,212,-226
386,66,452
254,84,-30
72,52,40
-56,-10,78
-130,-94,144
-146,-280,230
-40,-540,154
-182,-674,-214
-210,-624,-348
-50,272,180
82,-446,698
210,48,-12
-8,20,28
-4,28,10
4,30,10
0,18,18
2,18,14
2,22,14
2,20,14
4,14,16
4,22,12
12,30,-2
-44,24,14
-34,46,-2
-42,-6,26
-4,18,-128
430,36,478
116,124,-260
572,210,8
334,94,88
-50,72,68
-184,10,110
-166,-138,230
-182,-352,250
-206,-662,-16
-16,-800,-514
-296,-530,-264
-160,102,-222
538,-672,781
-58,4,50
-4,16,24
-12,28,14
-8,16,24
-8,18,14
-4,16,14
-4,22,10
-16,18,10
-12,14,14
-4,14,14
-12,18,16
-36,22,-12
-66,-6,38
-38,-6,4
-14,12,-108
86,-94,350
40,84,-120
396,6,564
322,90,-28
-4,70,94
-190,42,98
-250,0,98
-148,-174,256
-210,-388,244
-184,-600,-74
-152,-706,-502
-394,142,-26
120,-116,162
-266,-116,348
14,10,44
-4,18,16
-16,26,18
-4,22,12
2,16,20
-4,22,14
-8,28,6
-20,22,18
-14,6,24
-10,16,14
-2,10,14
-4,16,16
-4,14,14
-4,18,8
34,94,-10
-32,0,28
-18,-72,202
44,144,4
282,-172,781
380,96,-76
118,38,64
-104,-22,66
-196,-104,82
-204,-148,88
-32,-326,200
-24,-452,14
-156,-514,-140
268,-548,-694
-436,184,-332
250,-196,366
-14,-140,278
2,18,34
-8,24,24
-8,22,22
-4,20,14
-12,30,16
-2,26,14
-8,28,14
-4,32,6
-4,18,10
-4,26,10
-4,22,12
28,26,40
-66,-50,54
8,40,14
-54,-88,28
102,-178,-4
60,140,-114
192,-54,781
444,142,-14
182,102,-22
-64,28,96
-102,-50,142
-114,-170,212
-118,-384,272
-90,-658,-102
-26,-694,-982
-4,86,62
180,-538,781
-56,-112,230
-4,18,30
2,22,18
-2,14,16
2,18,14
-2,18,20
-2,22,14
0,18,14
-4,20,16
-4,16,12
4,18,20
-2,26,10
2,32,18
-2,22,16
-28,42,4
4,100,-50
38,32,82
292,88,206
-60,-160,-68
510,66,84
26,74,104
-102,70,14
-12,-16,76
-150,-56,42
24,-166,98
46,-250,134
-188,-376,152
4,-574,-154
54,-728,-448
-824,230,-190
370,-70,168
-30,-48,164
12,28,20
6,28,14
4,26,14
-2,24,12
-4,20,20
-4,18,14
-2,16,14
-4,18,14
-4,14,16
-4,22,14
2,20,12
-10,6,30
6,36,-10
38,76,-22
-32,-8,16
126,234,-4
-136,-80,-34
86,4,200
-100,-536,781
348,126,-182
256,74,68
-24,64,90
-232,42,114
-264,-12,160
-144,-140,200
-214,-420,242
44,-696,-242
-68,-682,-490
-450,-8,20
-208,-44,150
-108,-90,272
-34,-16,50
-10,36,8
-10,16,32
-4,16,22
-4,14,16
-4,14,16
-4,16,14
-4,12,10
-4,14,14
-4,16,18
-4,14,14
-4,10,16
-4,10,14
-18,12,18
16,32,6
-34,6,32
12,38,-4
158,210,-22
-106,-96,64
206,-134,18
-72,-456,781
384,110,-134
188,58,-64
-52,-28,78
-146,-76,6
-90,-122,72
0,-196,90
-16,-190,64
-102,-190,22
-30,-192,-26
34,-182,-106
-44,-122,-68
2,-46,-18
-2,-18,-14
2,-42,366
20,-32,100
38,-66,146
18,22,32
10,32,8
2,16,24
2,22,4
-2,12,18
2,16,20
2,12,16
-2,14,12
0,12,18
2,16,16
-4,12,14
2,12,14
